"filename", "language", "C++", "Dart", "JSON", "CMake", "YAML", "Markdown", "HTML", "Swift", "Properties", "XML", "comment", "blank", "total"
"d:\Mobile App Projects\cashio\lib\features\auth\presentation\widgets\other_login_provider.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 72
"d:\Mobile App Projects\cashio\lib\features\auth\provider\auth_provider.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Mobile App Projects\cashio\lib\features\auth\provider\auth_state_provider.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Mobile App Projects\cashio\lib\features\auth\provider\user_profile_provider.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Mobile App Projects\cashio\lib\features\auth\repository\auth_repository.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Mobile App Projects\cashio\lib\features\auth\repository\profile_repository.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Mobile App Projects\cashio\lib\features\auth\usecases\sign_in.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Mobile App Projects\cashio\lib\features\auth\usecases\sign_out.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\Mobile App Projects\cashio\lib\features\auth\usecases\sign_up.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Mobile App Projects\cashio\lib\features\home\model\transactions.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Mobile App Projects\cashio\lib\features\home\presentation\home_page.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113
"d:\Mobile App Projects\cashio\lib\features\home\presentation\pages\add_transaction.dart", "Dart", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 228
"d:\Mobile App Projects\cashio\lib\features\home\presentation\pages\logout_dialog.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\balance_card.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 86
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\bar_graph.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 118
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\custom_drawer.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 76
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\custom_home_app_bar.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 46
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\custom_nav_bar.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\expenses_widget.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 88
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\segmented_button.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\stat_row.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\Mobile App Projects\cashio\lib\features\home\provider\transactions_provider.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 68
"d:\Mobile App Projects\cashio\lib\features\home\repository\transactions_repository.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 91
"d:\Mobile App Projects\cashio\lib\features\home\usecases\add_categories.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Mobile App Projects\cashio\lib\features\home\usecases\add_transaction.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Mobile App Projects\cashio\lib\features\home\usecases\get_total_expenses.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Mobile App Projects\cashio\lib\features\home\usecases\get_transaction.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Mobile App Projects\cashio\lib\main.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Mobile App Projects\cashio\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\Mobile App Projects\cashio\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\Mobile App Projects\cashio\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\Mobile App Projects\cashio\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Mobile App Projects\cashio\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
